
{x=181,m=1429,a=1016,s=669}
{x=1577,m=56,a=113,s=519}
{x=1298,m=2117,a=2767,s=103}
{x=52,m=618,a=34,s=2370}
{x=473,m=512,a=1227,s=2512}
{x=797,m=242,a=1528,s=761}
{x=42,m=2898,a=137,s=1034}
{x=2053,m=12,a=368,s=2044}
{x=1712,m=649,a=2966,s=32}
{x=1103,m=664,a=204,s=592}
{x=1335,m=679,a=2306,s=1390}
{x=537,m=969,a=178,s=2460}
{x=1619,m=840,a=957,s=59}
{x=1654,m=233,a=619,s=1679}
{x=1206,m=3148,a=1783,s=1387}
{x=1976,m=2208,a=31,s=2577}
{x=979,m=301,a=3360,s=186}
{x=114,m=983,a=2019,s=876}
{x=212,m=384,a=8,s=1132}
{x=118,m=3319,a=2320,s=1586}
{x=557,m=254,a=225,s=1252}
{x=953,m=895,a=2335,s=485}
{x=719,m=421,a=293,s=3266}
{x=3373,m=249,a=695,s=242}
{x=68,m=359,a=254,s=2548}
{x=747,m=1213,a=625,s=748}
{x=101,m=1100,a=37,s=1493}
{x=1317,m=66,a=3054,s=1855}
{x=518,m=2049,a=75,s=150}
{x=17,m=70,a=40,s=12}
{x=1560,m=1853,a=1279,s=2104}
